source,disease,symptoms,description,text
Orphanet,Mosaic variegated aneuploidy syndrome,"Posteriorly rotated ears, Epicanthus, Micrognathia, Glaucoma, Cataract, Microphthalmia, Dandy-Walker malformation, Ascites, Polyhydramnios, Ventriculomegaly",Rare disease with 64 known phenotypic features,"Disease: Mosaic variegated aneuploidy syndrome | Symptoms: Posteriorly rotated ears, Epicanthus, Micrognathia, Glaucoma, Cataract, Microphthalmia, Dandy-Walker malformation, Ascites, Polyhydramnios, Ventriculomegaly | Description: Rare disease with 64 known phenotypic features | Source: Orphanet"
Orphanet,Metaphyseal anadysplasia,"Abnormal metaphysis morphology, Joint stiffness, Abnormality of the lower limb, Abnormality of ulnar metaphysis, Short stature, Abnormality of epiphysis morphology, Bowing of the long bones, Aplasia/Hypoplasia of the radius, Abnormal morphology of ulna",Rare disease with 9 known phenotypic features,"Disease: Metaphyseal anadysplasia | Symptoms: Abnormal metaphysis morphology, Joint stiffness, Abnormality of the lower limb, Abnormality of ulnar metaphysis, Short stature, Abnormality of epiphysis morphology, Bowing of the long bones, Aplasia/Hypoplasia of the radius, Abnormal morphology of ulna | Description: Rare disease with 9 known phenotypic features | Source: Orphanet"
Orphanet,Beta-mercaptolactate cysteine disulfiduria,"Posteriorly rotated ears, Joint hypermobility, High forehead, Intellectual disability, Seizure, Short stature, High palate, Convex nasal ridge, Anteverted nares, Strabismus",Rare disease with 24 known phenotypic features,"Disease: Beta-mercaptolactate cysteine disulfiduria | Symptoms: Posteriorly rotated ears, Joint hypermobility, High forehead, Intellectual disability, Seizure, Short stature, High palate, Convex nasal ridge, Anteverted nares, Strabismus | Description: Rare disease with 24 known phenotypic features | Source: Orphanet"
Orphanet,Isolated acheiropodia,"Abnormal metaphysis morphology, Fibular aplasia, Absent radius, Absent ulna, Absent hand, Short humerus, Abnormality of epiphysis morphology, Upper limb phocomelia",Rare disease with 8 known phenotypic features,"Disease: Isolated acheiropodia | Symptoms: Abnormal metaphysis morphology, Fibular aplasia, Absent radius, Absent ulna, Absent hand, Short humerus, Abnormality of epiphysis morphology, Upper limb phocomelia | Description: Rare disease with 8 known phenotypic features | Source: Orphanet"
Orphanet,Achondrogenesis,"Macrocephaly, Long philtrum, Micrognathia, Anteverted nares, Short neck, Thickened nuchal skin fold, Narrow chest, Hydrops fetalis, Frontal bossing, Skeletal dysplasia",Rare disease with 23 known phenotypic features,"Disease: Achondrogenesis | Symptoms: Macrocephaly, Long philtrum, Micrognathia, Anteverted nares, Short neck, Thickened nuchal skin fold, Narrow chest, Hydrops fetalis, Frontal bossing, Skeletal dysplasia | Description: Rare disease with 23 known phenotypic features | Source: Orphanet"
Orphanet,Short-limb skeletal dysplasia with severe combined immunodeficiency,"Inguinal hernia, Pectus excavatum, Abnormal metaphysis morphology, Abnormality of the pancreas, Lymphopenia, Anemia, Malabsorption, Recurrent respiratory infections, Fine hair, Aganglionic megacolon",Rare disease with 18 known phenotypic features,"Disease: Short-limb skeletal dysplasia with severe combined immunodeficiency | Symptoms: Inguinal hernia, Pectus excavatum, Abnormal metaphysis morphology, Abnormality of the pancreas, Lymphopenia, Anemia, Malabsorption, Recurrent respiratory infections, Fine hair, Aganglionic megacolon | Description: Rare disease with 18 known phenotypic features | Source: Orphanet"
Orphanet,Oxoglutaric aciduria,"Hydrocephalus, Abnormality of Krebs cycle metabolism, Ataxia, Global developmental delay, Hypertonia, Skeletal muscle atrophy, Short stature, Abnormal salivary gland morphology, Abnormal urine alpha-ketoglutarate concentration, Abnormality of movement",Rare disease with 10 known phenotypic features,"Disease: Oxoglutaric aciduria | Symptoms: Hydrocephalus, Abnormality of Krebs cycle metabolism, Ataxia, Global developmental delay, Hypertonia, Skeletal muscle atrophy, Short stature, Abnormal salivary gland morphology, Abnormal urine alpha-ketoglutarate concentration, Abnormality of movement | Description: Rare disease with 10 known phenotypic features | Source: Orphanet"
Orphanet,Abruzzo-Erickson syndrome,"Cryptorchidism, Hypospadias, Abnormal palate morphology, Cleft palate, Malar flattening, Epicanthus, Macrotia, Conductive hearing impairment, Sensorineural hearing impairment, Microcornea",Rare disease with 24 known phenotypic features,"Disease: Abruzzo-Erickson syndrome | Symptoms: Cryptorchidism, Hypospadias, Abnormal palate morphology, Cleft palate, Malar flattening, Epicanthus, Macrotia, Conductive hearing impairment, Sensorineural hearing impairment, Microcornea | Description: Rare disease with 24 known phenotypic features | Source: Orphanet"
Orphanet,Insulin-resistance syndrome type A,"Delayed puberty, Hyperkeratosis, Subcutaneous nodule, Generalized hirsutism, Accelerated skeletal maturation, Type II diabetes mellitus, Generalized hyperpigmentation",Rare disease with 7 known phenotypic features,"Disease: Insulin-resistance syndrome type A | Symptoms: Delayed puberty, Hyperkeratosis, Subcutaneous nodule, Generalized hirsutism, Accelerated skeletal maturation, Type II diabetes mellitus, Generalized hyperpigmentation | Description: Rare disease with 7 known phenotypic features | Source: Orphanet"
Orphanet,Triple A syndrome,"Palmoplantar keratoderma, Failure to thrive in infancy, Hypernasal speech, Weight loss, Hypoglycemia, Vomiting, Hypoglycemic seizures, Hypotension, Increased circulating ACTH level, Short stature",Rare disease with 35 known phenotypic features,"Disease: Triple A syndrome | Symptoms: Palmoplantar keratoderma, Failure to thrive in infancy, Hypernasal speech, Weight loss, Hypoglycemia, Vomiting, Hypoglycemic seizures, Hypotension, Increased circulating ACTH level, Short stature | Description: Rare disease with 35 known phenotypic features | Source: Orphanet"
Orphanet,Achalasia-microcephaly syndrome,"Microcephaly, Epicanthus, Mandibular prognathia, Micrognathia, Macrotia, Prominent nose, Intellectual disability, Growth delay, Achalasia, Abnormal dermatoglyphics",Rare disease with 10 known phenotypic features,"Disease: Achalasia-microcephaly syndrome | Symptoms: Microcephaly, Epicanthus, Mandibular prognathia, Micrognathia, Macrotia, Prominent nose, Intellectual disability, Growth delay, Achalasia, Abnormal dermatoglyphics | Description: Rare disease with 10 known phenotypic features | Source: Orphanet"
Orphanet,Acrocraniofacial dysostosis,"Posteriorly rotated ears, Cleft palate, Turricephaly, Short philtrum, Micrognathia, Abnormal pinna morphology, Prominent nasal bridge, Anteverted nares, Downslanted palpebral fissures, Telecanthus",Rare disease with 44 known phenotypic features,"Disease: Acrocraniofacial dysostosis | Symptoms: Posteriorly rotated ears, Cleft palate, Turricephaly, Short philtrum, Micrognathia, Abnormal pinna morphology, Prominent nasal bridge, Anteverted nares, Downslanted palpebral fissures, Telecanthus | Description: Rare disease with 44 known phenotypic features | Source: Orphanet"
Orphanet,Acrodermatitis enteropathica,"Abnormality of the tongue, Glossitis, Furrowed tongue, Abnormal eyelid morphology, Blepharitis, Visual impairment, Conjunctivitis, Abnormal eyebrow morphology, Photophobia, Emotional lability",Rare disease with 31 known phenotypic features,"Disease: Acrodermatitis enteropathica | Symptoms: Abnormality of the tongue, Glossitis, Furrowed tongue, Abnormal eyelid morphology, Blepharitis, Visual impairment, Conjunctivitis, Abnormal eyebrow morphology, Photophobia, Emotional lability | Description: Rare disease with 31 known phenotypic features | Source: Orphanet"
Orphanet,Acrodysostosis,"Open mouth, Hypoplasia of the maxilla, Wide nasal bridge, Depressed nasal ridge, Brachydactyly, Intellectual disability, Abnormality of the nail, Short toe, Short nose, Abnormal form of the vertebral bodies",Rare disease with 53 known phenotypic features,"Disease: Acrodysostosis | Symptoms: Open mouth, Hypoplasia of the maxilla, Wide nasal bridge, Depressed nasal ridge, Brachydactyly, Intellectual disability, Abnormality of the nail, Short toe, Short nose, Abnormal form of the vertebral bodies | Description: Rare disease with 53 known phenotypic features | Source: Orphanet"
Orphanet,3-hydroxyisobutyric aciduria,"Hypogonadotropic hypogonadism, Lactic acidosis, Triangular face, Long philtrum, Microtia, Microcephaly, Sloping forehead, Micrognathia, Seizure, Intrauterine growth retardation",Rare disease with 15 known phenotypic features,"Disease: 3-hydroxyisobutyric aciduria | Symptoms: Hypogonadotropic hypogonadism, Lactic acidosis, Triangular face, Long philtrum, Microtia, Microcephaly, Sloping forehead, Micrognathia, Seizure, Intrauterine growth retardation | Description: Rare disease with 15 known phenotypic features | Source: Orphanet"
Orphanet,Vitamin B12-unresponsive methylmalonic acidemia,"Renal insufficiency, Optic atrophy, Intellectual disability, Seizure, Ataxia, Hypotonia, Lethargy, Coma, Global developmental delay, Choreoathetosis",Rare disease with 25 known phenotypic features,"Disease: Vitamin B12-unresponsive methylmalonic acidemia | Symptoms: Renal insufficiency, Optic atrophy, Intellectual disability, Seizure, Ataxia, Hypotonia, Lethargy, Coma, Global developmental delay, Choreoathetosis | Description: Rare disease with 25 known phenotypic features | Source: Orphanet"
Orphanet,Acalvaria,"Abnormal skull morphology, Aplasia/Hypoplasia of the cerebellum, Postaxial hand polydactyly, Skull defect, Abnormality of neuronal migration, Cleft palate, Hydrocephalus, Hypertelorism, Holoprosencephaly, Omphalocele",Rare disease with 14 known phenotypic features,"Disease: Acalvaria | Symptoms: Abnormal skull morphology, Aplasia/Hypoplasia of the cerebellum, Postaxial hand polydactyly, Skull defect, Abnormality of neuronal migration, Cleft palate, Hydrocephalus, Hypertelorism, Holoprosencephaly, Omphalocele | Description: Rare disease with 14 known phenotypic features | Source: Orphanet"
Orphanet,Acro-renal-ocular syndrome,"Horseshoe kidney, Abnormal thumb morphology, Abnormal morphology of the radius, Renal malrotation, Crossed fused renal ectopia, Aplasia/Hypoplasia of the radius, Short distal phalanx of the thumb, Short thumb, Bladder diverticulum, Conductive hearing impairment",Rare disease with 44 known phenotypic features,"Disease: Acro-renal-ocular syndrome | Symptoms: Horseshoe kidney, Abnormal thumb morphology, Abnormal morphology of the radius, Renal malrotation, Crossed fused renal ectopia, Aplasia/Hypoplasia of the radius, Short distal phalanx of the thumb, Short thumb, Bladder diverticulum, Conductive hearing impairment | Description: Rare disease with 44 known phenotypic features | Source: Orphanet"
Orphanet,Acro-renal-mandibular syndrome,"Posteriorly rotated ears, Split hand, Split foot, Hypoplasia of the radius, Hypoplasia of the ulna, Rudimentary fibula, Rudimentary to absent tibiae, Renal hypoplasia/aplasia, High palate, Micrognathia",Rare disease with 37 known phenotypic features,"Disease: Acro-renal-mandibular syndrome | Symptoms: Posteriorly rotated ears, Split hand, Split foot, Hypoplasia of the radius, Hypoplasia of the ulna, Rudimentary fibula, Rudimentary to absent tibiae, Renal hypoplasia/aplasia, High palate, Micrognathia | Description: Rare disease with 37 known phenotypic features | Source: Orphanet"
Orphanet,Hajdu-Cheney syndrome,"Joint hypermobility, Hypertelorism, Long philtrum, Micrognathia, Downslanted palpebral fissures, Thick eyebrow, Periodontitis, Abnormal skull morphology, Osteopenia, Osteoporosis",Rare disease with 86 known phenotypic features,"Disease: Hajdu-Cheney syndrome | Symptoms: Joint hypermobility, Hypertelorism, Long philtrum, Micrognathia, Downslanted palpebral fissures, Thick eyebrow, Periodontitis, Abnormal skull morphology, Osteopenia, Osteoporosis | Description: Rare disease with 86 known phenotypic features | Source: Orphanet"
Orphanet,"Acrofacial dysostosis, Weyers type","Abnormality of the dentition, Abnormal oral frenulum morphology, Hypodontia, Conical tooth, Postaxial hand polydactyly, Abnormal fingernail morphology, Small nail, Hypoplastic toenails, Facial cleft, Mild short stature",Rare disease with 19 known phenotypic features,"Disease: Acrofacial dysostosis, Weyers type | Symptoms: Abnormality of the dentition, Abnormal oral frenulum morphology, Hypodontia, Conical tooth, Postaxial hand polydactyly, Abnormal fingernail morphology, Small nail, Hypoplastic toenails, Facial cleft, Mild short stature | Description: Rare disease with 19 known phenotypic features | Source: Orphanet"
Orphanet,Acropectorovertebral dysplasia,"Cleft palate, Pectus excavatum, Triphalangeal thumb, Intellectual disability, mild, Spina bifida, High, narrow palate, Synostosis of carpal bones, Finger syndactyly, Tarsal synostosis, Short distal phalanx of finger",Rare disease with 12 known phenotypic features,"Disease: Acropectorovertebral dysplasia | Symptoms: Cleft palate, Pectus excavatum, Triphalangeal thumb, Intellectual disability, mild, Spina bifida, High, narrow palate, Synostosis of carpal bones, Finger syndactyly, Tarsal synostosis, Short distal phalanx of finger | Description: Rare disease with 12 known phenotypic features | Source: Orphanet"
Orphanet,Hereditary continuous muscle fiber activity,"Congenital diaphragmatic hernia, Seizure, Ataxia, Dysarthria, Slurred speech, Spastic gait, Elevated circulating creatine kinase concentration, EMG abnormality, Type 1 muscle fiber predominance, Abnormality of movement",Rare disease with 10 known phenotypic features,"Disease: Hereditary continuous muscle fiber activity | Symptoms: Congenital diaphragmatic hernia, Seizure, Ataxia, Dysarthria, Slurred speech, Spastic gait, Elevated circulating creatine kinase concentration, EMG abnormality, Type 1 muscle fiber predominance, Abnormality of movement | Description: Rare disease with 10 known phenotypic features | Source: Orphanet"
Orphanet,Acrorenal syndrome,"Split hand, Renal hypoplasia/aplasia, Abnormal renal morphology, Renal insufficiency, Abnormality of tibia morphology, Aplasia/Hypoplasia of the radius, Abnormal morphology of ulna, Cleft palate, Micrognathia, Abnormality of the eye",Rare disease with 11 known phenotypic features,"Disease: Acrorenal syndrome | Symptoms: Split hand, Renal hypoplasia/aplasia, Abnormal renal morphology, Renal insufficiency, Abnormality of tibia morphology, Aplasia/Hypoplasia of the radius, Abnormal morphology of ulna, Cleft palate, Micrognathia, Abnormality of the eye | Description: Rare disease with 11 known phenotypic features | Source: Orphanet"
Orphanet,Adams-Oliver syndrome,"Cutis marmorata, Aplasia cutis congenita, Skull defect, Failure to thrive, Abnormality of the lower limb, Abnormality of the upper limb, Absent hand, Aplasia/Hypoplasia of the skin, Sparse hair, Absent toe",Rare disease with 46 known phenotypic features,"Disease: Adams-Oliver syndrome | Symptoms: Cutis marmorata, Aplasia cutis congenita, Skull defect, Failure to thrive, Abnormality of the lower limb, Abnormality of the upper limb, Absent hand, Aplasia/Hypoplasia of the skin, Sparse hair, Absent toe | Description: Rare disease with 46 known phenotypic features | Source: Orphanet"
Orphanet,"Isolated absence/hypoplasia of fingers excluding thumb, unilateral","Short nail, Abnormal metacarpal morphology, Short thumb, Duplication of the distal phalanx of the 5th finger, Short metacarpal",Rare disease with 5 known phenotypic features,"Disease: Isolated absence/hypoplasia of fingers excluding thumb, unilateral | Symptoms: Short nail, Abnormal metacarpal morphology, Short thumb, Duplication of the distal phalanx of the 5th finger, Short metacarpal | Description: Rare disease with 5 known phenotypic features | Source: Orphanet"
Orphanet,"Acromesomelic dysplasia, Maroteaux type","Joint hypermobility, Dolichocephaly, Sprengel anomaly, Brachydactyly, Joint stiffness, Frontal bossing, Scoliosis, Kyphosis, Acromesomelia, Ovoid vertebral bodies",Rare disease with 18 known phenotypic features,"Disease: Acromesomelic dysplasia, Maroteaux type | Symptoms: Joint hypermobility, Dolichocephaly, Sprengel anomaly, Brachydactyly, Joint stiffness, Frontal bossing, Scoliosis, Kyphosis, Acromesomelia, Ovoid vertebral bodies | Description: Rare disease with 18 known phenotypic features | Source: Orphanet"
Orphanet,"Acromesomelic dysplasia, Hunter-Thompson type","Brachydactyly, Joint stiffness, Abnormality of speech or vocalization, Abnormality of pelvic girdle bone morphology, Scoliosis, Hip dislocation, Patellar dislocation, Abnormality of the ankles, Elbow dislocation, Acromesomelia",Rare disease with 18 known phenotypic features,"Disease: Acromesomelic dysplasia, Hunter-Thompson type | Symptoms: Brachydactyly, Joint stiffness, Abnormality of speech or vocalization, Abnormality of pelvic girdle bone morphology, Scoliosis, Hip dislocation, Patellar dislocation, Abnormality of the ankles, Elbow dislocation, Acromesomelia | Description: Rare disease with 18 known phenotypic features | Source: Orphanet"
Orphanet,Hereditary sensory and autonomic neuropathy type 2,"Hyperhidrosis, Tapered finger, Dystrophic toenail, Acroosteolysis (feet), Wormian bones, Osteolysis, Abnormality of the knee, Abnormality of the ankles, Abnormal cortical bone morphology, Skeletal muscle atrophy",Rare disease with 15 known phenotypic features,"Disease: Hereditary sensory and autonomic neuropathy type 2 | Symptoms: Hyperhidrosis, Tapered finger, Dystrophic toenail, Acroosteolysis (feet), Wormian bones, Osteolysis, Abnormality of the knee, Abnormality of the ankles, Abnormal cortical bone morphology, Skeletal muscle atrophy | Description: Rare disease with 15 known phenotypic features | Source: Orphanet"
Orphanet,Acromicric dysplasia,"Narrow mouth, Thick lower lip vermilion, Round face, Long philtrum, Bulbous nose, Anteverted nares, Long eyelashes, Abnormal eyebrow morphology, Decreased nerve conduction velocity, Brachydactyly",Rare disease with 22 known phenotypic features,"Disease: Acromicric dysplasia | Symptoms: Narrow mouth, Thick lower lip vermilion, Round face, Long philtrum, Bulbous nose, Anteverted nares, Long eyelashes, Abnormal eyebrow morphology, Decreased nerve conduction velocity, Brachydactyly | Description: Rare disease with 22 known phenotypic features | Source: Orphanet"
Orphanet,Cerebellar ataxia-ectodermal dysplasia syndrome,"Inguinal hernia, Cryptorchidism, Triangular face, Broad forehead, Hypodontia, Microdontia, Ataxia, Gait disturbance, Pes cavus, Abnormality of speech or vocalization",Rare disease with 12 known phenotypic features,"Disease: Cerebellar ataxia-ectodermal dysplasia syndrome | Symptoms: Inguinal hernia, Cryptorchidism, Triangular face, Broad forehead, Hypodontia, Microdontia, Ataxia, Gait disturbance, Pes cavus, Abnormality of speech or vocalization | Description: Rare disease with 12 known phenotypic features | Source: Orphanet"
Orphanet,Congenital unilateral hypoplasia of depressor anguli oris,"Abnormality of lower lip, Asymmetric crying face, Cryptorchidism, Vesicoureteral reflux, Cleft palate, Microcephaly, Micrognathia, Protruding ear, Congenital diaphragmatic hernia, Hypertonia",Rare disease with 26 known phenotypic features,"Disease: Congenital unilateral hypoplasia of depressor anguli oris | Symptoms: Abnormality of lower lip, Asymmetric crying face, Cryptorchidism, Vesicoureteral reflux, Cleft palate, Microcephaly, Micrognathia, Protruding ear, Congenital diaphragmatic hernia, Hypertonia | Description: Rare disease with 26 known phenotypic features | Source: Orphanet"
Orphanet,Ataxia-oculomotor apraxia type 1,"Abnormality of the nervous system, Ataxia, Gait disturbance, Peripheral neuropathy, Medial flaring of the eyebrow",Rare disease with 5 known phenotypic features,"Disease: Ataxia-oculomotor apraxia type 1 | Symptoms: Abnormality of the nervous system, Ataxia, Gait disturbance, Peripheral neuropathy, Medial flaring of the eyebrow | Description: Rare disease with 5 known phenotypic features | Source: Orphanet"
Orphanet,Cerebellar ataxia-hypogonadism syndrome,"Hypogonadotropic hypogonadism, Hypogonadism, Decreased fertility, Brachycephaly, Abnormal electroretinogram, Nystagmus, Optic atrophy, Atypical behavior, Dementia, Personality changes",Rare disease with 20 known phenotypic features,"Disease: Cerebellar ataxia-hypogonadism syndrome | Symptoms: Hypogonadotropic hypogonadism, Hypogonadism, Decreased fertility, Brachycephaly, Abnormal electroretinogram, Nystagmus, Optic atrophy, Atypical behavior, Dementia, Personality changes | Description: Rare disease with 20 known phenotypic features | Source: Orphanet"
Orphanet,Ataxia-hypogonadism-choroidal dystrophy syndrome,"Hypogonadotropic hypogonadism, Chorioretinal dystrophy, Ataxia",Rare disease with 3 known phenotypic features,"Disease: Ataxia-hypogonadism-choroidal dystrophy syndrome | Symptoms: Hypogonadotropic hypogonadism, Chorioretinal dystrophy, Ataxia | Description: Rare disease with 3 known phenotypic features | Source: Orphanet"
Orphanet,Ataxia-tapetoretinal degeneration syndrome,"Visual impairment, Rod-cone dystrophy, Pigmentary retinopathy, Nystagmus, Ataxia, Hypotonia, Gait disturbance, Aplasia/Hypoplasia of the cerebellum, Cognitive impairment",Rare disease with 9 known phenotypic features,"Disease: Ataxia-tapetoretinal degeneration syndrome | Symptoms: Visual impairment, Rod-cone dystrophy, Pigmentary retinopathy, Nystagmus, Ataxia, Hypotonia, Gait disturbance, Aplasia/Hypoplasia of the cerebellum, Cognitive impairment | Description: Rare disease with 9 known phenotypic features | Source: Orphanet"
Orphanet,Benign paroxysmal tonic upgaze of childhood with ataxia,"Abnormality of eye movement, Nystagmus, Episodic ataxia",Rare disease with 3 known phenotypic features,"Disease: Benign paroxysmal tonic upgaze of childhood with ataxia | Symptoms: Abnormality of eye movement, Nystagmus, Episodic ataxia | Description: Rare disease with 3 known phenotypic features | Source: Orphanet"
Orphanet,Spinocerebellar ataxia-dysmorphism syndrome,"Joint hypermobility, Posteriorly rotated ears, Dolichocephaly, Epicanthus, Broad forehead, Anteverted nares, Ptosis, Proptosis, Nystagmus, Hyperextensible skin",Rare disease with 26 known phenotypic features,"Disease: Spinocerebellar ataxia-dysmorphism syndrome | Symptoms: Joint hypermobility, Posteriorly rotated ears, Dolichocephaly, Epicanthus, Broad forehead, Anteverted nares, Ptosis, Proptosis, Nystagmus, Hyperextensible skin | Description: Rare disease with 26 known phenotypic features | Source: Orphanet"
Orphanet,Infantile-onset spinocerebellar ataxia,"Hearing impairment, Ophthalmoplegia, Optic atrophy, Ataxia, Reduced tendon reflexes, Abnormality of the autonomic nervous system, Abnormality of movement",Rare disease with 7 known phenotypic features,"Disease: Infantile-onset spinocerebellar ataxia | Symptoms: Hearing impairment, Ophthalmoplegia, Optic atrophy, Ataxia, Reduced tendon reflexes, Abnormality of the autonomic nervous system, Abnormality of movement | Description: Rare disease with 7 known phenotypic features | Source: Orphanet"
Orphanet,Spastic ataxia with congenital miosis,"Nystagmus, Seizure, Ataxia, Dysarthria, Hyperreflexia, Spastic ataxia, Hemiplegia/hemiparesis, Congenital miosis",Rare disease with 8 known phenotypic features,"Disease: Spastic ataxia with congenital miosis | Symptoms: Nystagmus, Seizure, Ataxia, Dysarthria, Hyperreflexia, Spastic ataxia, Hemiplegia/hemiparesis, Congenital miosis | Description: Rare disease with 8 known phenotypic features | Source: Orphanet"
Orphanet,Ataxia-photosensitivity-short stature syndrome,"High palate, Dry skin, Cutaneous photosensitivity, Urticaria, Ataxia, Reduced tendon reflexes, Clinodactyly of the 5th finger, Short stature, Bilateral single transverse palmar creases, Abnormality of movement",Rare disease with 16 known phenotypic features,"Disease: Ataxia-photosensitivity-short stature syndrome | Symptoms: High palate, Dry skin, Cutaneous photosensitivity, Urticaria, Ataxia, Reduced tendon reflexes, Clinodactyly of the 5th finger, Short stature, Bilateral single transverse palmar creases, Abnormality of movement | Description: Rare disease with 16 known phenotypic features | Source: Orphanet"
Orphanet,Atkin-Flaitz syndrome,"Macroorchidism, Abnormality of the dentition, Everted lower lip vermilion, Macrocephaly, Coarse facial features, Hypertelorism, Prominent supraorbital ridges, Broad forehead, Macrotia, Broad nasal tip",Rare disease with 16 known phenotypic features,"Disease: Atkin-Flaitz syndrome | Symptoms: Macroorchidism, Abnormality of the dentition, Everted lower lip vermilion, Macrocephaly, Coarse facial features, Hypertelorism, Prominent supraorbital ridges, Broad forehead, Macrotia, Broad nasal tip | Description: Rare disease with 16 known phenotypic features | Source: Orphanet"
Orphanet,Colonic atresia,"Omphalocele, Gastroschisis, Abdominal distention, Abdominal situs inversus, Peptic ulcer, Colonic atresia, Abnormality of mesentery morphology, Duodenal stenosis",Rare disease with 8 known phenotypic features,"Disease: Colonic atresia | Symptoms: Omphalocele, Gastroschisis, Abdominal distention, Abdominal situs inversus, Peptic ulcer, Colonic atresia, Abnormality of mesentery morphology, Duodenal stenosis | Description: Rare disease with 8 known phenotypic features | Source: Orphanet"
Orphanet,Ataxia-deafness-intellectual disability syndrome,"Joint hypermobility, Sensorineural hearing impairment, Strabismus, Nystagmus, Intellectual disability, Ataxia, Abnormal palate morphology, Decreased nerve conduction velocity, Hypotonia, Reduced tendon reflexes",Rare disease with 17 known phenotypic features,"Disease: Ataxia-deafness-intellectual disability syndrome | Symptoms: Joint hypermobility, Sensorineural hearing impairment, Strabismus, Nystagmus, Intellectual disability, Ataxia, Abnormal palate morphology, Decreased nerve conduction velocity, Hypotonia, Reduced tendon reflexes | Description: Rare disease with 17 known phenotypic features | Source: Orphanet"
Orphanet,Progressive hemifacial atrophy,"Abnormality of the mandible, Facial asymmetry, Micrognathia, Irregular hyperpigmentation, Seizure, Abnormality of the musculature, Aplasia/Hypoplasia of the skin, Asymmetric growth, Deeply set eye, Ptosis",Rare disease with 11 known phenotypic features,"Disease: Progressive hemifacial atrophy | Symptoms: Abnormality of the mandible, Facial asymmetry, Micrognathia, Irregular hyperpigmentation, Seizure, Abnormality of the musculature, Aplasia/Hypoplasia of the skin, Asymmetric growth, Deeply set eye, Ptosis | Description: Rare disease with 11 known phenotypic features | Source: Orphanet"
Orphanet,Pulmonary atresia-intact ventricular septum syndrome,"Premature birth, Patent ductus arteriosus, Abnormal tricuspid valve morphology, Pulmonary artery atresia, Maternal diabetes",Rare disease with 5 known phenotypic features,"Disease: Pulmonary atresia-intact ventricular septum syndrome | Symptoms: Premature birth, Patent ductus arteriosus, Abnormal tricuspid valve morphology, Pulmonary artery atresia, Maternal diabetes | Description: Rare disease with 5 known phenotypic features | Source: Orphanet"
Orphanet,Duodenal atresia,"Polyhydramnios, Duodenal atresia, Premature birth, Vomiting, Prenatal double bubble sign, Failure to thrive, Abnormality of the pancreas, Annular pancreas, Weight loss, Dehydration",Rare disease with 16 known phenotypic features,"Disease: Duodenal atresia | Symptoms: Polyhydramnios, Duodenal atresia, Premature birth, Vomiting, Prenatal double bubble sign, Failure to thrive, Abnormality of the pancreas, Annular pancreas, Weight loss, Dehydration | Description: Rare disease with 16 known phenotypic features | Source: Orphanet"
Orphanet,Burn-McKeown syndrome,"Abnormal palate morphology, Hypertelorism, Prominent nasal bridge, Wide nasal bridge, Abnormality of the eye, Abnormality of vision, Abnormal cardiac septum morphology, Short nose, Short stature, Bilateral choanal atresia",Rare disease with 11 known phenotypic features,"Disease: Burn-McKeown syndrome | Symptoms: Abnormal palate morphology, Hypertelorism, Prominent nasal bridge, Wide nasal bridge, Abnormality of the eye, Abnormality of vision, Abnormal cardiac septum morphology, Short nose, Short stature, Bilateral choanal atresia | Description: Rare disease with 11 known phenotypic features | Source: Orphanet"
Orphanet,Baller-Gerold syndrome,"Finger aplasia, Large fontanelles, Brachyturricephaly, Brachycephaly, Proptosis, Growth delay, Failure to thrive in infancy, Frontal bossing, Short stature, Aplasia/Hypoplasia of the radius",Rare disease with 43 known phenotypic features,"Disease: Baller-Gerold syndrome | Symptoms: Finger aplasia, Large fontanelles, Brachyturricephaly, Brachycephaly, Proptosis, Growth delay, Failure to thrive in infancy, Frontal bossing, Short stature, Aplasia/Hypoplasia of the radius | Description: Rare disease with 43 known phenotypic features | Source: Orphanet"
Orphanet,Cheilitis glandularis,"Thick lower lip vermilion, Neoplasm, Squamous cell carcinoma, Abnormal salivary gland morphology, Abnormality of immune system physiology",Rare disease with 5 known phenotypic features,"Disease: Cheilitis glandularis | Symptoms: Thick lower lip vermilion, Neoplasm, Squamous cell carcinoma, Abnormal salivary gland morphology, Abnormality of immune system physiology | Description: Rare disease with 5 known phenotypic features | Source: Orphanet"
Orphanet,Autosomal dominant congenital benign spinal muscular atrophy,"Hypotonia, Joint stiffness, Distal amyotrophy, Cachexia, Nonprogressive muscular atrophy",Rare disease with 5 known phenotypic features,"Disease: Autosomal dominant congenital benign spinal muscular atrophy | Symptoms: Hypotonia, Joint stiffness, Distal amyotrophy, Cachexia, Nonprogressive muscular atrophy | Description: Rare disease with 5 known phenotypic features | Source: Orphanet"
Orphanet,Bannayan-Riley-Ruvalcaba syndrome,"Joint hypermobility, Macrocephaly, Abnormal large intestine morphology, Nevus, Short stature, Hamartomatous polyposis, Capillary hemangioma, Irregular hyperpigmentation, Lipoma, Neoplasm of the breast",Rare disease with 55 known phenotypic features,"Disease: Bannayan-Riley-Ruvalcaba syndrome | Symptoms: Joint hypermobility, Macrocephaly, Abnormal large intestine morphology, Nevus, Short stature, Hamartomatous polyposis, Capillary hemangioma, Irregular hyperpigmentation, Lipoma, Neoplasm of the breast | Description: Rare disease with 55 known phenotypic features | Source: Orphanet"
